Name;Symbol;Sector;Industry;Num_Employees
Amazon.com  Inc.;AMZN;Consumer Cyclical;Internet Retail;1125300
American Express Company;AXP;Financial Services;Credit Services;64000
Apple Inc.;AAPL;Technology;Consumer Electronics;147000
Axalta Coating Systems Ltd.;AXTA;Basic Materials;Specialty Chemicals;13000
Bank of America Corporation;BAC;Financial Services;Banks—Diversified;211000
The Bank of New York Mellon Corporation;BK;Financial Services;Asset Management;48600
Barrick Gold Corporation;GOLD;Basic Materials;Gold;NaN
Biogen Inc.;BIIB;Healthcare;Drug Manufacturers—General;7400
Charter Communications  Inc.;CHTR;Communication Services;Entertainment;95100
The Coca-Cola Company;KO;Consumer Defensive;Beverages—Non-Alcoholic;86200
Costco Wholesale Corporation;COST;Consumer Defensive;Discount Stores;156000
DaVita Inc.;DVA;Healthcare;Medical Care Facilities;65000
General Motors Company;GM;Consumer Cyclical;Auto Manufacturers;164000
Globe Life Inc.;GL;Financial Services;Insurance—Life;3196
Johnson & Johnson;JNJ;Healthcare;Drug Manufacturers—General;132200
JPMorgan Chase & Co.;JPM;Financial Services;Banks—Diversified;256358
The Kraft Heinz Company;KHC;Consumer Defensive;Packaged Foods;37000
The Kroger Co.;KR;Consumer Defensive;Grocery Stores;500000
Liberty Global plc;LBTYA;Communication Services;Entertainment;20200
Liberty Global plc;LBTYK;Communication Services;Entertainment;20200
Liberty Latin America Ltd.;LILA;Communication Services;Telecom Services;10000
Liberty Latin America Ltd.;LILAK;Communication Services;Telecom Services;10000
The Liberty SiriusXM Group;LSXMA;Communication Services;Broadcasting;NaN
The Liberty SiriusXM Group;LSXMK;Communication Services;Broadcasting;NaN
M&T Bank Corporation;MTB;Financial Services;Banks—Regional;16980
Mastercard Incorporated;MA;Financial Services;Credit Services;18600
Mondelez International  Inc.;MDLZ;Consumer Defensive;Confectioners;80000
Moody's Corporation;MCO;Financial Services;Financial Data & Stock Exchanges;11397
The PNC Financial Services Group  Inc.;PNC;Financial Services;Banks—Regional;49805
The Procter & Gamble Company;PG;Consumer Defensive;Household & Personal Products;99000
RH;RH;Consumer Cyclical;Specialty Retail;4400
Sirius XM Holdings Inc.;SIRI;Communication Services;Broadcasting;4534
Snowflake Inc.;SNOW;Technology;Software—Application;2037
SPDR S&P 500 ETF Trust;SPY;NaN;NaN;NaN
StoneCo Ltd.;STNE;Technology;Software—Application;NaN
STORE Capital Corporation;STOR;Real Estate;REIT—Diversified;103
Suncor Energy Inc.;SU;Energy;Oil & Gas Integrated;12889
Synchrony Financial;SYF;Financial Services;Credit Services;16500
Teva Pharmaceutical Industries Limited;TEVA;Healthcare;Drug Manufacturers—Specialty & Generic;40039
U.S. Bancorp;USB;Financial Services;Banks—Regional;70000
United Parcel Service  Inc.;UPS;Industrials;Integrated Freight & Logistics;260280
Vanguard S&P 500 ETF;VOO;NaN;NaN;NaN
VeriSign  Inc.;VRSN;Technology;Software—Infrastructure;872
Visa Inc.;V;Financial Services;Credit Services;NaN
Wells Fargo & Company;WFC;Financial Services;Banks—Diversified;274900
